model,event_budget,seed,r2_vx,r2_vy,r2_joint,n_events_used,n_events_total,notes
snn_shuffle,1.0,0,0.04525486826322733,0.03601299134353897,0.04169900666745152,256787,256787,within-bin order permuted
snn_shuffle,0.5,0,0.07060214365034778,0.0610601620241803,0.06693081516297039,126774,256787,within-bin order permuted
snn_shuffle,0.25,0,0.06131072918419256,0.01743028992242268,0.04442749538519064,61804,256787,within-bin order permuted
snn_shuffle,0.1,0,-0.2446030065246847,-0.5763421515645002,-0.3722414176302873,22800,256787,within-bin order permuted
snn_shuffle,1.0,1,0.07249796545773857,0.012162479685792316,0.04928356446719029,256787,256787,within-bin order permuted
snn_shuffle,0.5,1,0.05099174284126362,0.03909440889953386,0.046414179947584455,126774,256787,within-bin order permuted
snn_shuffle,0.25,1,0.05324296394709371,-0.04008050365084981,0.017336260438718054,61804,256787,within-bin order permuted
snn_shuffle,0.1,1,-0.0024976905729603427,-0.023327308570629812,-0.010511997551535535,22800,256787,within-bin order permuted
snn_shuffle,1.0,2,0.06166781117249376,0.07663248016293911,0.06742554763869368,256787,256787,within-bin order permuted
snn_shuffle,0.5,2,0.04973098354765948,-0.008329071502809482,0.02739206670244898,126774,256787,within-bin order permuted
snn_shuffle,0.25,2,0.06300958554495562,-0.04200188765576485,0.022605859341375267,61804,256787,within-bin order permuted
snn_shuffle,0.1,2,-0.2846757802572819,-0.8756059585850238,-0.51203932828551,22800,256787,within-bin order permuted
