model,lag_bins,event_budget,seed,r2_vx,r2_vy,r2_joint,r2_joint_ci_lo,r2_joint_ci_hi,best_alpha,n_features,n_boot
ridge_lag_sweep,0,1.0,0,0.16924020995021083,0.16169100981177864,0.1664283948342783,0.1417557061199888,0.1891752639740888,0.001,98,1000
ridge_lag_sweep,0,0.5,0,0.10669633399054235,0.07895600153216964,0.09636402265992172,0.07528906365064103,0.11669667556999219,0.001,98,1000
ridge_lag_sweep,0,0.25,0,0.05870729568206656,0.032590736256456365,0.04897978346587417,0.03209840251759779,0.06424390150351966,10.0,98,1000
ridge_lag_sweep,0,0.1,0,0.023007213435273677,0.018057185132379527,0.021163499644257122,0.0127259320606385,0.029701800268682084,100.0,98,1000
ridge_lag_sweep,1,1.0,0,0.2764529966090894,0.26905056402279126,0.27369584731391283,0.24863967535478532,0.29928803924733444,0.001,196,1000
ridge_lag_sweep,1,0.5,0,0.20514236148789156,0.1535205995814959,0.18591504630511801,0.1584686348113166,0.2111091911864278,0.001,196,1000
ridge_lag_sweep,1,0.25,0,0.1144305901215329,0.07125936763829577,0.09835080766435966,0.07436494110864147,0.1208168515581195,10.0,196,1000
ridge_lag_sweep,1,0.1,0,0.04824292917819828,0.03793681007950589,0.04440425740676446,0.031356770428122176,0.05629516733913882,100.0,196,1000
ridge_lag_sweep,2,1.0,0,0.37958924627475255,0.37086279286442303,0.37633894516235655,0.34778227106150755,0.4010512199303038,1.0,294,1000
ridge_lag_sweep,2,0.5,0,0.3018333414227945,0.23297669621343864,0.27618663021078016,0.24874555700346568,0.30165670755593094,10.0,294,1000
ridge_lag_sweep,2,0.25,0,0.1710429154245987,0.11706512998344731,0.15093806322240066,0.12423379308390074,0.17542937060408953,10.0,294,1000
ridge_lag_sweep,2,0.1,0,0.07820149650143704,0.0630837317422146,0.07257065367178572,0.05515419613147531,0.08730018815320631,100.0,294,1000
ridge_lag_sweep,4,1.0,0,0.5264965233414591,0.5266465198825503,0.5265523918485651,0.499528232463074,0.54866451041356,100.0,490,1000
ridge_lag_sweep,4,0.5,0,0.4434020826404449,0.35756888777704754,0.4114321957199738,0.37839724234645233,0.43740400402137575,10.0,490,1000
ridge_lag_sweep,4,0.25,0,0.24276343164689607,0.21567245338174623,0.23267298222251942,0.20422229881351595,0.25856912629201045,100.0,490,1000
ridge_lag_sweep,4,0.1,0,0.13436100788293848,0.110069818099792,0.1253133825234627,0.10276093715981977,0.1460017938105731,100.0,490,1000
ridge_lag_sweep,8,1.0,0,0.5698402868543484,0.5980012793007521,0.5803292794348132,0.5580635163479006,0.6001364766427004,1000.0,882,1000
ridge_lag_sweep,8,0.5,0,0.4815925020200664,0.46823515612849864,0.47661735413712136,0.4466112250156277,0.5022601132530105,100.0,882,1000
ridge_lag_sweep,8,0.25,0,0.29761623674279836,0.29598529818854724,0.29700876872023874,0.2665203776577657,0.32320172201757225,100.0,882,1000
ridge_lag_sweep,8,0.1,0,0.17564810302775735,0.15418332475597096,0.16765321788787502,0.14199847879383148,0.18886368742912582,100.0,882,1000
ridge_lag_sweep,16,1.0,0,0.6039975347782058,0.6223195956761312,0.610821866739621,0.5887324662448196,0.6321842252677663,1000.0,1666,1000
ridge_lag_sweep,16,0.5,0,0.4941572507322468,0.4639974308264755,0.4829237642767582,0.4510802406229677,0.5098355801161021,100.0,1666,1000
ridge_lag_sweep,16,0.25,0,0.29867497751281935,0.3103466767883283,0.3030222805183945,0.2703858194288671,0.3303600035953282,100.0,1666,1000
ridge_lag_sweep,16,0.1,0,0.17433094127266624,0.16077935165503543,0.16928344434146392,0.14158597321076014,0.1927372527595996,100.0,1666,1000
