model,event_budget,seed,r2_vx,r2_vy,r2_joint,n_events_used,n_events_total,notes
trained_snn_h4_w2048,1.0,0,0.5482773671195686,0.5560258210163626,0.5511633973469559,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4_w2048,0.25,0,0.2711767723802031,0.18703344864862115,0.23983630382264265,59324,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4_w2048,1.0,1,0.5373439046266205,0.558207999154748,0.5451150559139961,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4_w2048,0.25,1,0.26127998915142037,0.17480120155237533,0.22906964133714025,59324,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4_w2048,1.0,2,0.5464797076405985,0.5403996578156801,0.5442151000411397,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4_w2048,0.25,2,0.26538001074503326,0.18803151050945366,0.23657037817881,59324,256787,BPTT + fast-sigmoid surrogate
