model,event_budget,seed,r2_vx,r2_vy,r2_joint,n_events_used,n_events_total,notes
trained_snn_h4_w1024,1.0,0,0.5455666974910109,0.5453093543442429,0.5454708460979103,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4_w1024,0.25,0,0.27546920872850955,0.18561224882127758,0.2420006089423381,59324,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4_w1024,1.0,1,0.5576223514118422,0.5542668949033086,0.5563725602871485,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4_w1024,0.25,1,0.27490966740824396,0.18725333804387378,0.24226072614370842,59324,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4_w1024,1.0,2,0.5418198792980622,0.5438328971662038,0.5425696586079876,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4_w1024,0.25,2,0.2740175662920331,0.20138206153572824,0.24696336101438865,59324,256787,BPTT + fast-sigmoid surrogate
