model,event_budget,seed,r2_vx,r2_vy,r2_joint,r2_joint_ci_lo,r2_joint_ci_hi,best_val_r2,k_history,tau_ms,hidden_dim,num_sub_bins,readout_lag,n_boot
trained_snn_deep,1.0,0,0.6662277740151665,0.6956738851180811,0.6771954287052433,0.6543810161773572,0.6982531522825804,0.62090003490448,0,10.0,512,10,28,300
trained_snn_deep,1.0,1,0.6665662212046771,0.6934290617733634,0.6765716972528462,0.6518636119938944,0.6999851770804416,0.6138544082641602,0,10.0,512,10,28,300
trained_snn_deep,1.0,2,0.6686698624058172,0.6920889875936876,0.6773926739616976,0.655430333058168,0.6956794015354274,0.6104731559753418,0,10.0,512,10,28,300
trained_snn_deep,0.5,0,0.5727969288514472,0.5169545774721545,0.5519975905323918,0.5258756378797771,0.5795445901383574,0.5249501466751099,0,10.0,512,10,28,300
trained_snn_deep,0.5,1,0.5649975248632553,0.5296636369762711,0.5518368776101119,0.5245359252922973,0.5824246314367253,0.5197395086288452,0,10.0,512,10,28,300
trained_snn_deep,0.5,2,0.5719277741138143,0.5347808780201126,0.5580918442098634,0.5290973578975683,0.5812932854716659,0.5135977864265442,0,10.0,512,10,28,300
trained_snn_deep,0.25,0,0.36152018378131645,0.3055263838768114,0.3406644361414498,0.3089726773951333,0.3690168623583056,0.3735519051551819,0,10.0,512,10,28,300
trained_snn_deep,0.25,1,0.37888867897427725,0.31340045289486584,0.35449658701366626,0.3282098221043936,0.38531478841548533,0.3753170967102051,0,10.0,512,10,28,300
trained_snn_deep,0.25,2,0.3644922180172627,0.3121252156258487,0.3449873266115313,0.3135624010384538,0.37306816195238685,0.36945414543151855,0,10.0,512,10,28,300
trained_snn_deep,0.1,0,0.26425728921528846,0.11482988447361298,0.2086007656521882,0.17667465976793328,0.23811583159513522,0.13491851091384888,0,10.0,512,10,28,300
trained_snn_deep,0.1,1,0.26591170121579155,0.13538469185245394,0.21729491914150934,0.1884780733778611,0.24409036805025433,0.1351509690284729,0,10.0,512,10,28,300
trained_snn_deep,0.1,2,0.25833441318220485,0.1138639403512528,0.20452417476450224,0.16834409327669336,0.2384559905554998,0.14328265190124512,0,10.0,512,10,28,300
