model,event_budget,seed,r2_vx,r2_vy,r2_joint,n_events_used,n_events_total,notes
latency,1.0,0,0.14799353347955468,0.10358666544320128,0.131453515927209,256787,256787,first-spike latency features only
latency,0.5,0,0.10696365985859457,0.06769028934379007,0.09233569201535763,125107,256787,first-spike latency features only
latency,0.25,0,0.060358083336427115,0.034280044835090284,0.05064491882796074,59324,256787,first-spike latency features only
latency,0.1,0,0.028092037002822368,0.014818218663010474,0.023148000234739396,21204,256787,first-spike latency features only
