model,event_budget,seed,r2_vx,r2_vy,r2_joint,n_events_used,n_events_total,notes
snn,1.0,0,0.06400634526037285,0.06363634703639298,0.06387099267974716,256787,256787,
snn,0.5,0,0.029386964410036742,0.029418413500168716,0.029398469101767022,120919,256787,
snn,0.25,0,0.011874049061283753,0.013779066564263975,0.012570941690636661,56316,256787,
snn,0.1,0,-0.00026177989172282423,-0.0019187741987136686,-0.0008679407892555613,32868,256787,
snn,1.0,1,0.06721137701406399,0.061591192647341364,0.06515540374628759,256787,256787,
snn,0.5,1,0.029386964410036742,0.029418413500168716,0.029398469101767022,120919,256787,
snn,0.25,1,0.011874049061283753,0.013779066564263975,0.012570941690636661,56316,256787,
snn,0.1,1,0.0009305257864106187,-0.003931070617352983,-0.0008479411806230353,32868,256787,
snn,1.0,2,0.06400634526037285,0.06363634703639298,0.06387099267974716,256787,256787,
snn,0.5,2,0.03243844965397247,0.023633509711600498,0.02921743056195103,120919,256787,
snn,0.25,2,0.009791432055907934,0.015051765575778031,0.011715764851906063,56316,256787,
snn,0.1,2,0.0017199872485248457,-0.002502280880518848,0.0001753990577709752,32868,256787,
