model,event_budget,seed,r2_vx,r2_vy,r2_joint,n_events_used,n_events_total,notes
snn,1.0,0,0.24428291510516875,0.20070833870088467,0.22751736367717856,256787,256787,
snn,0.5,0,0.16588714319397901,0.11886328600493956,0.1477944625278328,126774,256787,
snn,0.25,0,0.06940139521742605,0.042319757219827836,0.05898159009091419,61804,256787,
snn,0.1,0,-1.2665817292756287e-05,-0.0003704592484183866,-0.0001503287543795917,22800,256787,
snn,1.0,1,0.23765084488348387,0.21611902872601274,0.22936636340564165,256787,256787,
snn,0.5,1,0.1661776394918265,0.09316953585306464,0.1380873809690758,126774,256787,
snn,0.25,1,0.06213387039963503,0.005450712055384388,0.040324721929565155,61804,256787,
snn,0.1,1,0.009549925611060939,-0.03506390782201474,-0.00761548551955582,22800,256787,
snn,1.0,2,0.22572206211802204,0.20819577186848182,0.21897872816580344,256787,256787,
snn,0.5,2,0.16588714319397901,0.11886328600493956,0.1477944625278328,126774,256787,
snn,0.25,2,0.06940139521742605,0.042319757219827836,0.05898159009091419,61804,256787,
snn,0.1,2,-1.4680443892967077e-05,-0.00036747576904305745,-0.0001504203329620868,22800,256787,
