model,event_budget,seed,r2_vx,r2_vy,r2_joint,n_events_used,n_events_total,notes
trained_snn_h4_w512,1.0,0,0.5438682033373156,0.5333376695072298,0.5399459448649864,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4_w512,0.25,0,0.2837253434864485,0.181952583986574,0.24581852179615193,59324,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4_w512,1.0,1,0.5501867159811891,0.549799727149061,0.550042576068626,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4_w512,0.25,1,0.2742490566182909,0.19011533228101052,0.24291216350203615,59324,256787,BPTT + fast-sigmoid surrogate
