model,event_budget,seed,r2_vx,r2_vy,r2_joint,n_events_used,n_events_total,notes
trained_snn_h4_w64,1.0,0,0.5345921223641761,0.5317152311043642,0.5335205801897871,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4_w64,0.25,0,0.2702311768196336,0.19828233006032947,0.24343272782080516,59324,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4_w64,1.0,1,0.5357338708224706,0.531520103764195,0.5341643887989169,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4_w64,0.25,1,0.27667669771117187,0.18610438315494404,0.24294165313900784,59324,256787,BPTT + fast-sigmoid surrogate
