model,event_budget,seed,r2_vx,r2_vy,r2_joint,n_events_used,n_events_total,notes
trained_snn_h4_w256,1.0,0,0.5405007936661614,0.5357513690626574,0.5387317977927937,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4_w256,0.25,0,0.27439504107053825,0.19419256126437257,0.24452240013919257,59324,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4_w256,1.0,1,0.5557106599377495,0.553527766336942,0.5548976078116076,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4_w256,0.25,1,0.27629436254272044,0.2020333795543483,0.2486347230230722,59324,256787,BPTT + fast-sigmoid surrogate
