model,event_budget,seed,r2_vx,r2_vy,r2_joint,n_events_used,n_events_total,notes
trained_snn_h4_w128,1.0,0,0.542119201137589,0.5422711018637361,0.5421757788875585,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4_w128,0.25,0,0.27221465154379887,0.17547041506460914,0.23618078020335376,59324,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4_w128,1.0,1,0.5447157680673655,0.5368667941497565,0.5417922976199816,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4_w128,0.25,1,0.2745339698427962,0.1874669985849895,0.24210454402391646,59324,256787,BPTT + fast-sigmoid surrogate
