model,event_budget,seed,r2_vx,r2_vy,r2_joint,n_events_used,n_events_total,notes
trained_snn_h4_w32,1.0,0,0.5245155761627424,0.5248389849927879,0.5246360347305737,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4_w32,0.25,0,0.25574465111170464,0.20025179829431117,0.23507548888035723,59324,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4_w32,1.0,1,0.5219220450898632,0.5344116443914082,0.5265739874763473,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4_w32,0.25,1,0.25191020598219993,0.17335780013697366,0.22265216034846147,59324,256787,BPTT + fast-sigmoid surrogate
