model,event_budget,seed,r2_vx,r2_vy,r2_joint,n_events_used,n_events_total,notes
trained_snn_b50,1.0,0,0.542417336417605,0.5429136159446047,0.5426021833219336,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_b50,0.5,0,0.46025219926218286,0.347941064713736,0.4184201985177385,125107,256787,BPTT + fast-sigmoid surrogate
trained_snn_b50,0.25,0,0.28090405300242327,0.19033171510845637,0.24716899973776119,59324,256787,BPTT + fast-sigmoid surrogate
trained_snn_b50,0.1,0,0.15548686659107225,0.025611931931793785,0.10711295971892665,21204,256787,BPTT + fast-sigmoid surrogate
trained_snn_b50,1.0,1,0.5375645300590727,0.5486004194490248,0.5416750159430608,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_b50,0.5,1,0.45838978343719483,0.3524365550078602,0.4189258821209785,125107,256787,BPTT + fast-sigmoid surrogate
trained_snn_b50,0.25,1,0.27818594320704515,0.18225590535044622,0.24245533260315377,59324,256787,BPTT + fast-sigmoid surrogate
trained_snn_b50,0.1,1,0.13851794385931682,0.060743814069350255,0.10954977905221153,21204,256787,BPTT + fast-sigmoid surrogate
trained_snn_b50,1.0,2,0.5460976292629001,0.5480712130630856,0.5468327207507611,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_b50,0.5,2,0.4613586594076454,0.34957105545299305,0.4197216556443767,125107,256787,BPTT + fast-sigmoid surrogate
trained_snn_b50,0.25,2,0.2733862120800793,0.20654433377067027,0.24848993163165134,59324,256787,BPTT + fast-sigmoid surrogate
trained_snn_b50,0.1,2,0.1351454004599515,0.06690816549609224,0.10972939807262228,21204,256787,BPTT + fast-sigmoid surrogate
