model,event_budget,seed,r2_vx,r2_vy,r2_joint,n_events_used,n_events_total,notes
trained_snn_b100,1.0,0,0.6149301946998034,0.6259531551879487,0.6191713377286667,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_b100,0.5,0,0.5127621265076987,0.48696079722192975,0.5028349270086683,126774,256787,BPTT + fast-sigmoid surrogate
trained_snn_b100,0.25,0,0.3518147532132696,0.22915510167012365,0.3046207959615411,61804,256787,BPTT + fast-sigmoid surrogate
trained_snn_b100,0.1,0,0.11105116001613113,0.09324163181943446,0.10419884874821017,22800,256787,BPTT + fast-sigmoid surrogate
trained_snn_b100,1.0,1,0.6180694080094853,0.6238655745776013,0.6202995141103766,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_b100,0.5,1,0.5061797417348732,0.4814028731006966,0.49664670895317065,126774,256787,BPTT + fast-sigmoid surrogate
trained_snn_b100,0.25,1,0.3504133374143922,0.2411460509224409,0.3083721642752396,61804,256787,BPTT + fast-sigmoid surrogate
trained_snn_b100,0.1,1,0.1023722660415084,0.08693704288846771,0.09643348134343466,22800,256787,BPTT + fast-sigmoid surrogate
trained_snn_b100,1.0,2,0.6256556926018063,0.6136649711132245,0.6210421983497828,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_b100,0.5,2,0.5085706197531055,0.4852545078276844,0.4995996209312331,126774,256787,BPTT + fast-sigmoid surrogate
trained_snn_b100,0.25,2,0.3341533477417027,0.2346563153260749,0.2958713321365526,61804,256787,BPTT + fast-sigmoid surrogate
trained_snn_b100,0.1,2,0.10980655253839544,0.09654019308882145,0.10470224975526687,22800,256787,BPTT + fast-sigmoid surrogate
