model,event_budget,seed,r2_vx,r2_vy,r2_joint,n_events_used,n_events_total,notes
snn_shuffle,1.0,0,0.056257376663240044,0.03621510245065529,0.04892552110161408,256787,256787,within-bin order permuted
snn_shuffle,0.5,0,0.033168124975706426,0.030511239851807148,0.03219618447805406,120919,256787,within-bin order permuted
snn_shuffle,0.25,0,0.01394680060247655,0.001919504726544452,0.009546980740521738,56316,256787,within-bin order permuted
snn_shuffle,0.1,0,-0.002548258769556222,-0.0011092270979871088,-0.0020218328633623273,32868,256787,within-bin order permuted
snn_shuffle,1.0,1,0.05555640096217662,0.04397796085683747,0.0513207813123876,256787,256787,within-bin order permuted
snn_shuffle,0.5,1,0.02411990615480042,0.025376444227534156,0.024579572336354882,120919,256787,within-bin order permuted
snn_shuffle,0.25,1,0.008271288143444022,0.00440666166261916,0.006857532256437371,56316,256787,within-bin order permuted
snn_shuffle,0.1,1,-0.0013468976828914236,0.0016144853633579537,-0.00026356589491927096,32868,256787,within-bin order permuted
snn_shuffle,1.0,2,0.05698538217484728,0.03429067216515469,0.04868321376625573,256787,256787,within-bin order permuted
snn_shuffle,0.5,2,0.027596667866602864,0.021058259320919537,0.02520479025075073,120919,256787,within-bin order permuted
snn_shuffle,0.25,2,0.016042812413021856,0.008721368314960287,0.01336448509047683,56316,256787,within-bin order permuted
snn_shuffle,0.1,2,0.004263589006023527,-0.0014471760173471182,0.0021744795639698777,32868,256787,within-bin order permuted
