model,event_budget,seed,r2_vx,r2_vy,r2_joint,n_events_used,n_events_total,notes
ridge,1.0,0,0.16936487210223583,0.16204974950886974,0.16664024275001976,256787,256787,gpu sweep over 1000 alphas in 0.69s
ridge,0.5,0,0.10662703119922678,0.07968285092862337,0.09659125893434839,125107,256787,gpu sweep over 1000 alphas in 0.05s
ridge,0.25,0,0.057829756799940735,0.033645772953815545,0.04882206193226635,59324,256787,gpu sweep over 1000 alphas in 0.05s
ridge,0.1,0,0.02387902947997511,0.01762007615909511,0.02154778653570988,21204,256787,gpu sweep over 1000 alphas in 0.05s
