event_budget,seed,r2_vx,r2_vy,r2_joint,best_val_r2,epochs_trained
1.0,0,0.5381959242000542,0.5409318458209103,0.539214960075175,0.5347087383270264,100
1.0,1,0.5495036388353257,0.5448200158964327,0.547759151798896,0.5347164869308472,100
1.0,2,0.5432811476362298,0.5399195728210454,0.5420290776545964,0.5312265157699585,100
1.0,3,0.5433970421913765,0.5218142403173969,0.5353581973547583,0.5277278423309326,99
1.0,4,0.5372992580971055,0.5473570182861175,0.5410454247920267,0.5308680534362793,100
1.0,5,0.5400976172183665,0.5296455754780955,0.5362045943260425,0.5304452776908875,100
1.0,6,0.5423522138986072,0.5389016429021194,0.5410669959273511,0.5362076163291931,100
1.0,7,0.5440013250248813,0.5397770741165315,0.5424279381309347,0.5310351848602295,100
1.0,8,0.5374001229603471,0.5441073238298271,0.5398983225635592,0.533165693283081,100
1.0,9,0.539558852613905,0.5460570861348497,0.5419792191303564,0.5304566621780396,100
0.5,0,0.46025219926218286,0.347941064713736,0.4184201985177385,0.40583884716033936,57
0.5,1,0.45838978343719483,0.3524365550078602,0.4189258821209785,0.4011349678039551,69
0.5,2,0.4613586594076454,0.34957105545299305,0.4197216556443767,0.4085202217102051,68
0.5,3,0.456785123598928,0.35273191222752764,0.41802891271163956,0.40246206521987915,55
0.5,4,0.4560778282304361,0.35192348288155473,0.41728394844559547,0.4062299132347107,65
0.5,5,0.4587655858103933,0.3442201730304123,0.41610139394776113,0.39880621433258057,72
0.5,6,0.46302306778812474,0.34778306866864894,0.42010016661418825,0.403702974319458,71
0.5,7,0.46476185741067555,0.3379203054529135,0.41751778034514875,0.4027215242385864,82
0.5,8,0.46933427349366974,0.33720194639802004,0.42011956626403113,0.4003477096557617,68
0.5,9,0.45697053652779285,0.34735805286741284,0.4161436896036932,0.4053463339805603,71
0.25,0,0.28090405300242327,0.19033171510845637,0.24716899973776119,0.25840312242507935,54
0.25,1,0.27818594320704515,0.18225590535044622,0.24245533260315377,0.2630390524864197,59
0.25,2,0.2733862120800793,0.20654433377067027,0.24848993163165134,0.26577556133270264,61
0.25,3,0.2835042369530988,0.18517666033136349,0.24688062634692576,0.26009607315063477,57
0.25,4,0.2791988216989243,0.19082229456508149,0.24628163175406115,0.26623469591140747,55
0.25,5,0.27198248470691866,0.18889856589151655,0.24103660772231728,0.25701844692230225,56
0.25,6,0.28135119399834074,0.19930612197823339,0.25079225139997674,0.26203811168670654,53
0.25,7,0.2770715729011981,0.20315903410451552,0.24954171675293835,0.266154944896698,55
0.25,8,0.2756220611841368,0.1992326621421271,0.24716966053445255,0.26266294717788696,52
0.25,9,0.28059216869653425,0.18747102711372687,0.2459077744939706,0.26382362842559814,60
0.1,0,0.15548686659107225,0.025611931931793785,0.10711295971892665,0.08113062381744385,59
0.1,1,0.13851794385931682,0.060743814069350255,0.10954977905221153,0.07397252321243286,42
0.1,2,0.1351454004599515,0.06690816549609224,0.10972939807262228,0.07690894603729248,41
0.1,3,0.13763736603658472,0.06336361624854647,0.10997297132703232,0.0716516375541687,42
0.1,4,0.1405166358578498,0.05024561831364427,0.10689381396852027,0.07861381769180298,44
0.1,5,0.13037826772064653,0.04904295667624936,0.10008368645906074,0.07633841037750244,41
0.1,6,0.13583432348653124,0.05842496524098051,0.10700202342319254,0.08040517568588257,42
0.1,7,0.14077981952851604,0.05919372301320702,0.11039182938055347,0.07995998859405518,42
0.1,8,0.13237878085938193,0.06007495726248668,0.1054481153052309,0.08197283744812012,43
0.1,9,0.12924943891983742,0.05611102525512779,0.10200791752331162,0.07982403039932251,41
