model,event_budget,seed,r2_vx,r2_vy,r2_joint,n_events_used,n_events_total,notes
ridge,1.0,0,0.2724341044318084,0.2724564552314296,0.27244270402155624,256787,256787,lag_bins=0
ridge,0.5,0,0.20653312317896888,0.15245361436091331,0.18572574279556675,126774,256787,lag_bins=0
ridge,0.25,0,0.12307458256689074,0.062105220272735684,0.09961629419271123,61804,256787,lag_bins=0
ridge,0.1,0,0.040034652397574644,0.03186694095261389,0.03689208171578573,22800,256787,lag_bins=0
ridge,1.0,1,0.2724341044318084,0.2724564552314296,0.27244270402155624,256787,256787,lag_bins=0
ridge,0.5,1,0.20653312317896888,0.15245361436091331,0.18572574279556675,126774,256787,lag_bins=0
ridge,0.25,1,0.12307458256689074,0.062105220272735684,0.09961629419271123,61804,256787,lag_bins=0
ridge,0.1,1,0.040034652397574644,0.03186694095261389,0.03689208171578573,22800,256787,lag_bins=0
ridge,1.0,2,0.2724341044318084,0.2724564552314296,0.27244270402155624,256787,256787,lag_bins=0
ridge,0.5,2,0.20653312317896888,0.15245361436091331,0.18572574279556675,126774,256787,lag_bins=0
ridge,0.25,2,0.12307458256689074,0.062105220272735684,0.09961629419271123,61804,256787,lag_bins=0
ridge,0.1,2,0.040034652397574644,0.03186694095261389,0.03689208171578573,22800,256787,lag_bins=0
